Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
1	9.852734624031716E-6	7.389550968023788E-6	9.852734624031716E-6	0.0	4.1874122152134794E-5	V01_DN_R1_rmphix_fastqc
2	9.852734624031716E-6	1.2315918280039646E-5	2.2168652904071362E-5	0.0	6.404277505620615E-5	V01_DN_R1_rmphix_fastqc
3	1.9705469248063432E-5	2.2168652904071362E-5	3.6947754840118935E-5	2.463183656007929E-6	1.009905298963251E-4	V01_DN_R1_rmphix_fastqc
4	1.9705469248063432E-5	2.463183656007929E-5	4.6800489464150653E-5	2.463183656007929E-6	1.5764375398450746E-4	V01_DN_R1_rmphix_fastqc
5	2.709502021608722E-5	2.463183656007929E-5	6.404277505620615E-5	4.926367312015858E-6	1.8473877420059468E-4	V01_DN_R1_rmphix_fastqc
6	2.955820387209515E-5	4.4337305808142724E-5	7.143232602422994E-5	9.852734624031716E-6	2.1429697807268984E-4	V01_DN_R1_rmphix_fastqc
7	4.6800489464150653E-5	4.4337305808142724E-5	8.128506064826166E-5	9.852734624031716E-6	2.709502021608722E-4	V01_DN_R1_rmphix_fastqc
8	9.113779527229338E-5	4.926367312015858E-5	9.606416258430924E-5	9.852734624031716E-6	3.12824324313007E-4	V01_DN_R1_rmphix_fastqc
9	1.009905298963251E-4	5.665322408818237E-5	1.1084326452035681E-4	9.852734624031716E-6	3.448457118411101E-4	V01_DN_R1_rmphix_fastqc
10-14	1.640480314901281E-4	6.995441583062518E-5	1.5370266013489477E-4	9.852734624031716E-6	4.714533517599176E-4	V01_DN_R1_rmphix_fastqc
15-19	4.1135167055332414E-4	1.0296107682113145E-4	2.1823807192230253E-4	1.1330644817636474E-5	6.956030644566392E-4	V01_DN_R1_rmphix_fastqc
20-24	0.0011931661629702409	1.32026643962025E-4	2.822808469785087E-4	1.4779101936047574E-5	8.921651202060718E-4	V01_DN_R1_rmphix_fastqc
25-29	0.001373963843321223	1.5222474994129E-4	3.522352628091339E-4	1.4779101936047574E-5	0.0010961167269235284	V01_DN_R1_rmphix_fastqc
30-34	0.0016734869758917872	1.7537867630776455E-4	4.4041723769421774E-4	1.7242285592055503E-5	0.0013153400723082342	V01_DN_R1_rmphix_fastqc
35-39	0.0020794196424018937	2.0345896998625498E-4	5.074158331376333E-4	2.0690742710466604E-5	0.001561658437909027	V01_DN_R1_rmphix_fastqc
40-44	0.0026838849115862397	2.2759816981513266E-4	5.808187060866697E-4	2.2168652904071362E-5	0.0017680732282824914	V01_DN_R1_rmphix_fastqc
45-49	0.0033563340496764044	2.724281123544769E-4	6.517583953796981E-4	2.561711002248246E-5	0.001966113194225529	V01_DN_R1_rmphix_fastqc
50-54	0.004235197978140033	2.936114917961452E-4	7.187569908231136E-4	2.7095020216087218E-5	0.002153315152082132	V01_DN_R1_rmphix_fastqc
55-59	0.00533377788871957	3.177506916250229E-4	7.970862310841658E-4	2.7095020216087218E-5	0.002315885273378655	V01_DN_R1_rmphix_fastqc
60-64	0.006622515577542919	3.5272789954033545E-4	8.616216428715736E-4	2.7095020216087218E-5	0.002498160863923242	V01_DN_R1_rmphix_fastqc
