Measure	Value	Library
Filename	V01_DN_R1_rmphix.fq.gz	V01_DN_R1_rmphix_fastqc
File type	Conventional base calls	V01_DN_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V01_DN_R1_rmphix_fastqc
Total Sequences	40597866	V01_DN_R1_rmphix_fastqc
Sequences flagged as poor quality	0	V01_DN_R1_rmphix_fastqc
Sequence length	50-151	V01_DN_R1_rmphix_fastqc
%GC	60	V01_DN_R1_rmphix_fastqc
Filename	V01_DN_R2_rmphix.fq.gz	V01_DN_R2_rmphix_fastqc
File type	Conventional base calls	V01_DN_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V01_DN_R2_rmphix_fastqc
Total Sequences	40597866	V01_DN_R2_rmphix_fastqc
Sequences flagged as poor quality	0	V01_DN_R2_rmphix_fastqc
Sequence length	50-151	V01_DN_R2_rmphix_fastqc
%GC	60	V01_DN_R2_rmphix_fastqc
Filename	V03_DN_R1_rmphix.fq.gz	V03_DN_R1_rmphix_fastqc
File type	Conventional base calls	V03_DN_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V03_DN_R1_rmphix_fastqc
Total Sequences	37972189	V03_DN_R1_rmphix_fastqc
Sequences flagged as poor quality	0	V03_DN_R1_rmphix_fastqc
Sequence length	50-151	V03_DN_R1_rmphix_fastqc
%GC	60	V03_DN_R1_rmphix_fastqc
Filename	V03_DN_R2_rmphix.fq.gz	V03_DN_R2_rmphix_fastqc
File type	Conventional base calls	V03_DN_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V03_DN_R2_rmphix_fastqc
Total Sequences	37972189	V03_DN_R2_rmphix_fastqc
Sequences flagged as poor quality	0	V03_DN_R2_rmphix_fastqc
Sequence length	50-151	V03_DN_R2_rmphix_fastqc
%GC	60	V03_DN_R2_rmphix_fastqc
Filename	V05_DN_R1_rmphix.fq.gz	V05_DN_R1_rmphix_fastqc
File type	Conventional base calls	V05_DN_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V05_DN_R1_rmphix_fastqc
Total Sequences	27497208	V05_DN_R1_rmphix_fastqc
Sequences flagged as poor quality	0	V05_DN_R1_rmphix_fastqc
Sequence length	50-151	V05_DN_R1_rmphix_fastqc
%GC	59	V05_DN_R1_rmphix_fastqc
Filename	V05_DN_R2_rmphix.fq.gz	V05_DN_R2_rmphix_fastqc
File type	Conventional base calls	V05_DN_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V05_DN_R2_rmphix_fastqc
Total Sequences	27497208	V05_DN_R2_rmphix_fastqc
Sequences flagged as poor quality	0	V05_DN_R2_rmphix_fastqc
Sequence length	50-151	V05_DN_R2_rmphix_fastqc
%GC	59	V05_DN_R2_rmphix_fastqc
Filename	V09_DN_R1_rmphix.fq.gz	V09_DN_R1_rmphix_fastqc
File type	Conventional base calls	V09_DN_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V09_DN_R1_rmphix_fastqc
Total Sequences	28232921	V09_DN_R1_rmphix_fastqc
Sequences flagged as poor quality	0	V09_DN_R1_rmphix_fastqc
