Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
1	36.44212215489356	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
2	36.593892890823376	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
3	36.699453414620365	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
4	36.75656897828078	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
5	36.789755747260216	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
6	36.7995649327972	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
7	36.80840268796394	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
8	36.79990608373356	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
9	36.814293637995654	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
10-14	36.80944928484665	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
15-19	36.807412744305324	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
20-24	36.79740238563278	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
25-29	36.78918944163223	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
30-34	36.78232349454033	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
35-39	36.77066826123324	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
40-44	36.764934610109805	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
45-49	36.752841225693984	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
50-54	36.73649482778253	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
55-59	36.73490948442227	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
60-64	36.73234058992796	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
65-69	36.72305549428633	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
70-74	36.72812116346726	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
75-79	36.724732303564664	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
80-84	36.71894203174317	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
85-89	36.70929871413994	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
90-94	36.7082228368343	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
95-99	36.694436371920105	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
100-104	36.687554771666846	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
105-109	36.687313441385	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
110-114	36.67392986347234	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
115-119	36.66110556628306	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
120-124	36.65109867795383	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
125-129	36.63495443437493	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
130-134	36.60370041350442	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
135-139	36.61763659481231	37.0	37.0	37.0	37.0	37.0	V01_DN_R1_rmphix_fastqc
