GC_Content	Count	Library
0	32.0	V01_DN_R1_rmphix_fastqc
1	22.0	V01_DN_R1_rmphix_fastqc
2	16.0	V01_DN_R1_rmphix_fastqc
3	22.5	V01_DN_R1_rmphix_fastqc
4	21.0	V01_DN_R1_rmphix_fastqc
5	23.0	V01_DN_R1_rmphix_fastqc
6	36.0	V01_DN_R1_rmphix_fastqc
7	55.5	V01_DN_R1_rmphix_fastqc
8	89.0	V01_DN_R1_rmphix_fastqc
9	131.5	V01_DN_R1_rmphix_fastqc
10	191.0	V01_DN_R1_rmphix_fastqc
11	282.5	V01_DN_R1_rmphix_fastqc
12	378.0	V01_DN_R1_rmphix_fastqc
13	490.5	V01_DN_R1_rmphix_fastqc
14	696.5	V01_DN_R1_rmphix_fastqc
15	1042.0	V01_DN_R1_rmphix_fastqc
16	1450.5	V01_DN_R1_rmphix_fastqc
17	1958.5	V01_DN_R1_rmphix_fastqc
18	2789.5	V01_DN_R1_rmphix_fastqc
19	3983.5	V01_DN_R1_rmphix_fastqc
20	5436.0	V01_DN_R1_rmphix_fastqc
21	7431.0	V01_DN_R1_rmphix_fastqc
22	10370.5	V01_DN_R1_rmphix_fastqc
23	14474.5	V01_DN_R1_rmphix_fastqc
24	19411.0	V01_DN_R1_rmphix_fastqc
25	25482.0	V01_DN_R1_rmphix_fastqc
26	33018.5	V01_DN_R1_rmphix_fastqc
27	42378.5	V01_DN_R1_rmphix_fastqc
28	54137.0	V01_DN_R1_rmphix_fastqc
29	67600.5	V01_DN_R1_rmphix_fastqc
30	83202.0	V01_DN_R1_rmphix_fastqc
31	101524.5	V01_DN_R1_rmphix_fastqc
32	122205.5	V01_DN_R1_rmphix_fastqc
33	144381.0	V01_DN_R1_rmphix_fastqc
34	168147.0	V01_DN_R1_rmphix_fastqc
35	193970.5	V01_DN_R1_rmphix_fastqc
36	221008.0	V01_DN_R1_rmphix_fastqc
37	248512.0	V01_DN_R1_rmphix_fastqc
38	275952.5	V01_DN_R1_rmphix_fastqc
39	302896.0	V01_DN_R1_rmphix_fastqc
40	328219.5	V01_DN_R1_rmphix_fastqc
41	353925.5	V01_DN_R1_rmphix_fastqc
42	379555.5	V01_DN_R1_rmphix_fastqc
43	402503.0	V01_DN_R1_rmphix_fastqc
44	424249.0	V01_DN_R1_rmphix_fastqc
45	446384.5	V01_DN_R1_rmphix_fastqc
46	470775.5	V01_DN_R1_rmphix_fastqc
47	497704.5	V01_DN_R1_rmphix_fastqc
48	528273.0	V01_DN_R1_rmphix_fastqc
49	565111.0	V01_DN_R1_rmphix_fastqc
50	606955.5	V01_DN_R1_rmphix_fastqc
51	655886.0	V01_DN_R1_rmphix_fastqc
52	714866.0	V01_DN_R1_rmphix_fastqc
53	782936.0	V01_DN_R1_rmphix_fastqc
54	853996.0	V01_DN_R1_rmphix_fastqc
55	932127.0	V01_DN_R1_rmphix_fastqc
56	1023624.0	V01_DN_R1_rmphix_fastqc
57	1123802.0	V01_DN_R1_rmphix_fastqc
58	1235019.5	V01_DN_R1_rmphix_fastqc
59	1355281.0	V01_DN_R1_rmphix_fastqc
60	1478658.5	V01_DN_R1_rmphix_fastqc
61	1602934.5	V01_DN_R1_rmphix_fastqc
62	1722435.0	V01_DN_R1_rmphix_fastqc
63	1832343.5	V01_DN_R1_rmphix_fastqc
64	1919377.5	V01_DN_R1_rmphix_fastqc
65	1976584.0	V01_DN_R1_rmphix_fastqc
66	1995672.5	V01_DN_R1_rmphix_fastqc
67	1965459.0	V01_DN_R1_rmphix_fastqc
68	1888324.0	V01_DN_R1_rmphix_fastqc
69	1763153.5	V01_DN_R1_rmphix_fastqc
70	1598559.5	V01_DN_R1_rmphix_fastqc
71	1404254.0	V01_DN_R1_rmphix_fastqc
72	1191161.0	V01_DN_R1_rmphix_fastqc
73	976622.0	V01_DN_R1_rmphix_fastqc
74	774244.5	V01_DN_R1_rmphix_fastqc
75	592411.5	V01_DN_R1_rmphix_fastqc
76	439171.0	V01_DN_R1_rmphix_fastqc
77	316639.5	V01_DN_R1_rmphix_fastqc
78	221817.5	V01_DN_R1_rmphix_fastqc
79	152144.5	V01_DN_R1_rmphix_fastqc
80	101242.0	V01_DN_R1_rmphix_fastqc
81	65399.0	V01_DN_R1_rmphix_fastqc
82	41745.0	V01_DN_R1_rmphix_fastqc
83	26628.5	V01_DN_R1_rmphix_fastqc
84	16755.0	V01_DN_R1_rmphix_fastqc
85	10068.0	V01_DN_R1_rmphix_fastqc
86	5740.5	V01_DN_R1_rmphix_fastqc
87	3283.0	V01_DN_R1_rmphix_fastqc
88	1890.5	V01_DN_R1_rmphix_fastqc
89	977.5	V01_DN_R1_rmphix_fastqc
90	512.0	V01_DN_R1_rmphix_fastqc
91	278.0	V01_DN_R1_rmphix_fastqc
92	137.5	V01_DN_R1_rmphix_fastqc
93	66.0	V01_DN_R1_rmphix_fastqc
94	31.0	V01_DN_R1_rmphix_fastqc
95	18.0	V01_DN_R1_rmphix_fastqc
96	12.0	V01_DN_R1_rmphix_fastqc
97	9.5	V01_DN_R1_rmphix_fastqc
98	17.0	V01_DN_R1_rmphix_fastqc
99	15.5	V01_DN_R1_rmphix_fastqc
100	4.5	V01_DN_R1_rmphix_fastqc
0	30.0	V01_DN_R2_rmphix_fastqc
1	23.0	V01_DN_R2_rmphix_fastqc
2	23.0	V01_DN_R2_rmphix_fastqc
3	39.5	V01_DN_R2_rmphix_fastqc
4	54.5	V01_DN_R2_rmphix_fastqc
5	85.0	V01_DN_R2_rmphix_fastqc
6	134.5	V01_DN_R2_rmphix_fastqc
7	200.5	V01_DN_R2_rmphix_fastqc
8	306.0	V01_DN_R2_rmphix_fastqc
9	449.0	V01_DN_R2_rmphix_fastqc
10	590.5	V01_DN_R2_rmphix_fastqc
11	773.5	V01_DN_R2_rmphix_fastqc
12	976.5	V01_DN_R2_rmphix_fastqc
13	1244.5	V01_DN_R2_rmphix_fastqc
14	1634.0	V01_DN_R2_rmphix_fastqc
15	2159.5	V01_DN_R2_rmphix_fastqc
16	2888.0	V01_DN_R2_rmphix_fastqc
17	3754.0	V01_DN_R2_rmphix_fastqc
18	4813.0	V01_DN_R2_rmphix_fastqc
19	6266.0	V01_DN_R2_rmphix_fastqc
20	8222.5	V01_DN_R2_rmphix_fastqc
21	10753.5	V01_DN_R2_rmphix_fastqc
22	14012.0	V01_DN_R2_rmphix_fastqc
23	18508.5	V01_DN_R2_rmphix_fastqc
24	24118.5	V01_DN_R2_rmphix_fastqc
25	30876.5	V01_DN_R2_rmphix_fastqc
26	39223.5	V01_DN_R2_rmphix_fastqc
27	49094.5	V01_DN_R2_rmphix_fastqc
