Quality	Count	Library
32	48.0	V01_DN_R1_rmphix_fastqc
33	7682.0	V01_DN_R1_rmphix_fastqc
34	216500.0	V01_DN_R1_rmphix_fastqc
35	2636341.0	V01_DN_R1_rmphix_fastqc
36	2.7975921E7	V01_DN_R1_rmphix_fastqc
37	9761374.0	V01_DN_R1_rmphix_fastqc
32	20.0	V01_DN_R2_rmphix_fastqc
33	3945.0	V01_DN_R2_rmphix_fastqc
34	143510.0	V01_DN_R2_rmphix_fastqc
35	2746135.0	V01_DN_R2_rmphix_fastqc
36	3.0684343E7	V01_DN_R2_rmphix_fastqc
37	7019913.0	V01_DN_R2_rmphix_fastqc
32	44.0	V03_DN_R1_rmphix_fastqc
33	6654.0	V03_DN_R1_rmphix_fastqc
34	188300.0	V03_DN_R1_rmphix_fastqc
35	2360986.0	V03_DN_R1_rmphix_fastqc
36	2.6229839E7	V03_DN_R1_rmphix_fastqc
37	9186366.0	V03_DN_R1_rmphix_fastqc
32	24.0	V03_DN_R2_rmphix_fastqc
33	3788.0	V03_DN_R2_rmphix_fastqc
34	134590.0	V03_DN_R2_rmphix_fastqc
35	2511040.0	V03_DN_R2_rmphix_fastqc
36	2.8569037E7	V03_DN_R2_rmphix_fastqc
37	6753710.0	V03_DN_R2_rmphix_fastqc
32	12.0	V05_DN_R1_rmphix_fastqc
33	2394.0	V05_DN_R1_rmphix_fastqc
34	75713.0	V05_DN_R1_rmphix_fastqc
35	1077694.0	V05_DN_R1_rmphix_fastqc
36	1.7933875E7	V05_DN_R1_rmphix_fastqc
37	8407520.0	V05_DN_R1_rmphix_fastqc
32	36.0	V05_DN_R2_rmphix_fastqc
33	2899.0	V05_DN_R2_rmphix_fastqc
34	101362.0	V05_DN_R2_rmphix_fastqc
35	1751962.0	V05_DN_R2_rmphix_fastqc
36	2.05534E7	V05_DN_R2_rmphix_fastqc
37	5087549.0	V05_DN_R2_rmphix_fastqc
32	12.0	V09_DN_R1_rmphix_fastqc
33	2291.0	V09_DN_R1_rmphix_fastqc
34	74753.0	V09_DN_R1_rmphix_fastqc
35	1093637.0	V09_DN_R1_rmphix_fastqc
36	1.873538E7	V09_DN_R1_rmphix_fastqc
37	8326848.0	V09_DN_R1_rmphix_fastqc
32	23.0	V09_DN_R2_rmphix_fastqc
33	2812.0	V09_DN_R2_rmphix_fastqc
34	106405.0	V09_DN_R2_rmphix_fastqc
35	1933955.0	V09_DN_R2_rmphix_fastqc
36	2.1462419E7	V09_DN_R2_rmphix_fastqc
37	4727307.0	V09_DN_R2_rmphix_fastqc
32	25.0	V10_DN_R1_rmphix_fastqc
33	2678.0	V10_DN_R1_rmphix_fastqc
34	82460.0	V10_DN_R1_rmphix_fastqc
35	1166422.0	V10_DN_R1_rmphix_fastqc
36	1.901745E7	V10_DN_R1_rmphix_fastqc
37	7933979.0	V10_DN_R1_rmphix_fastqc
32	13.0	V10_DN_R2_rmphix_fastqc
33	2626.0	V10_DN_R2_rmphix_fastqc
34	100939.0	V10_DN_R2_rmphix_fastqc
35	1834529.0	V10_DN_R2_rmphix_fastqc
36	2.1348807E7	V10_DN_R2_rmphix_fastqc
