Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	Library
1	74.69339901601427	54.83484124626631	V01_DN_R1_rmphix_fastqc
2	18.230794484381732	26.767632334687242	V01_DN_R1_rmphix_fastqc
3	4.928024479182999	10.853466713267817	V01_DN_R1_rmphix_fastqc
4	1.4025416303763578	4.118604784686689	V01_DN_R1_rmphix_fastqc
5	0.4375285711820669	1.606019411188566	V01_DN_R1_rmphix_fastqc
6	0.15815798727741542	0.6966533780844556	V01_DN_R1_rmphix_fastqc
7	0.063972314579575	0.3287490236403052	V01_DN_R1_rmphix_fastqc
8	0.03147526581605255	0.18485608923350585	V01_DN_R1_rmphix_fastqc
9	0.013170420044568342	0.08701948386659154	V01_DN_R1_rmphix_fastqc
>10	0.03948302249709692	0.3910595479327027	V01_DN_R1_rmphix_fastqc
>50	0.0010619428762156467	0.05138391095809725	V01_DN_R1_rmphix_fastqc
>100	3.4599258264644085E-4	0.049080417519559966	V01_DN_R1_rmphix_fastqc
>500	3.0952264750510677E-5	0.015894748118958954	V01_DN_R1_rmphix_fastqc
>1k	1.3920924297544199E-5	0.01473891054923782	V01_DN_R1_rmphix_fastqc
>5k	0.0	0.0	V01_DN_R1_rmphix_fastqc
>10k+	0.0	0.0	V01_DN_R1_rmphix_fastqc
1	75.51895246998622	55.723352181566696	V01_DN_R2_rmphix_fastqc
2	17.649854079154668	26.04668106848746	V01_DN_R2_rmphix_fastqc
3	4.759849568799184	10.536485154195772	V01_DN_R2_rmphix_fastqc
4	1.360613024351541	4.015835297445372	V01_DN_R2_rmphix_fastqc
5	0.4168114087794362	1.537768213478751	V01_DN_R2_rmphix_fastqc
6	0.14361165339711773	0.6358024690137344	V01_DN_R2_rmphix_fastqc
7	0.06398562343092468	0.3304925874456347	V01_DN_R2_rmphix_fastqc
8	0.03136496748554642	0.18514675558351915	V01_DN_R2_rmphix_fastqc
9	0.01669549208097132	0.11087228823758383	V01_DN_R2_rmphix_fastqc
>10	0.03713695472967914	0.36468819076342884	V01_DN_R2_rmphix_fastqc
>50	7.519681187315229E-4	0.03923547185993755	V01_DN_R2_rmphix_fastqc
>100	2.315316391622274E-4	0.028099995677972202	V01_DN_R2_rmphix_fastqc
>500	6.757990781471646E-5	0.03197415438473368	V01_DN_R2_rmphix_fastqc
>1k	6.912070967107686E-5	0.0737046477102309	V01_DN_R2_rmphix_fastqc
>5k	0.0	0.0	V01_DN_R2_rmphix_fastqc
>10k+	4.557429329752848E-6	0.33986152414918464	V01_DN_R2_rmphix_fastqc
1	76.53699966828216	57.56101369252812	V03_DN_R1_rmphix_fastqc
2	17.288027782144468	26.00353837223155	V03_DN_R1_rmphix_fastqc
3	4.318018929006437	9.742329113018668	V03_DN_R1_rmphix_fastqc
4	1.2003597297754112	3.611007650732101	V03_DN_R1_rmphix_fastqc
5	0.3722892726969392	1.39993388924092	V03_DN_R1_rmphix_fastqc
6	0.13798388459557556	0.6226394270727292	V03_DN_R1_rmphix_fastqc
7	0.057708392816513646	0.30380437206022265	V03_DN_R1_rmphix_fastqc
8	0.03377967800951102	0.20323686759207352	V03_DN_R1_rmphix_fastqc
9	0.020502458160458543	0.13877314919810396	V03_DN_R1_rmphix_fastqc
>10	0.03342023843325855	0.34161124830335987	V03_DN_R1_rmphix_fastqc
>50	6.340521574105162E-4	0.032795170739526286	V03_DN_R1_rmphix_fastqc
>100	2.7107137909637577E-4	0.03499408755148168	V03_DN_R1_rmphix_fastqc
>500	0.0	0.0	V03_DN_R1_rmphix_fastqc
>1k	4.842542834363494E-6	0.004322959731128777	V03_DN_R1_rmphix_fastqc
>5k	0.0	0.0	V03_DN_R1_rmphix_fastqc
>10k+	0.0	0.0	V03_DN_R1_rmphix_fastqc
1	77.30231979142131	58.49331882300054	V03_DN_R2_rmphix_fastqc
2	16.696964146067167	25.26860383510771	V03_DN_R2_rmphix_fastqc
3	4.240517479705001	9.626177128351248	V03_DN_R2_rmphix_fastqc
4	1.1292092441535035	3.4178118594304028	V03_DN_R2_rmphix_fastqc
5	0.359924181356625	1.3617417917732995	V03_DN_R2_rmphix_fastqc
6	0.12599041961964255	0.5720085350613155	V03_DN_R2_rmphix_fastqc
