Length	Count	Library
50-54	342778.0	V01_DN_R1_rmphix_fastqc
55-59	353518.0	V01_DN_R1_rmphix_fastqc
60-64	339199.0	V01_DN_R1_rmphix_fastqc
65-69	316575.0	V01_DN_R1_rmphix_fastqc
70-74	320261.0	V01_DN_R1_rmphix_fastqc
75-79	322999.0	V01_DN_R1_rmphix_fastqc
80-84	314452.0	V01_DN_R1_rmphix_fastqc
85-89	326107.0	V01_DN_R1_rmphix_fastqc
90-94	317651.0	V01_DN_R1_rmphix_fastqc
95-99	325502.0	V01_DN_R1_rmphix_fastqc
100-104	334629.0	V01_DN_R1_rmphix_fastqc
105-109	330855.0	V01_DN_R1_rmphix_fastqc
110-114	341257.0	V01_DN_R1_rmphix_fastqc
115-119	353475.0	V01_DN_R1_rmphix_fastqc
120-124	365080.0	V01_DN_R1_rmphix_fastqc
125-129	375101.0	V01_DN_R1_rmphix_fastqc
130-134	415359.0	V01_DN_R1_rmphix_fastqc
135-139	395992.0	V01_DN_R1_rmphix_fastqc
140-144	430044.0	V01_DN_R1_rmphix_fastqc
145-149	500679.0	V01_DN_R1_rmphix_fastqc
150-152	3.3476353E7	V01_DN_R1_rmphix_fastqc
50-54	422698.0	V01_DN_R2_rmphix_fastqc
55-59	389271.0	V01_DN_R2_rmphix_fastqc
60-64	343397.0	V01_DN_R2_rmphix_fastqc
65-69	370487.0	V01_DN_R2_rmphix_fastqc
70-74	371579.0	V01_DN_R2_rmphix_fastqc
75-79	360678.0	V01_DN_R2_rmphix_fastqc
80-84	356982.0	V01_DN_R2_rmphix_fastqc
85-89	347643.0	V01_DN_R2_rmphix_fastqc
90-94	368977.0	V01_DN_R2_rmphix_fastqc
95-99	364595.0	V01_DN_R2_rmphix_fastqc
100-104	386652.0	V01_DN_R2_rmphix_fastqc
105-109	404654.0	V01_DN_R2_rmphix_fastqc
110-114	411851.0	V01_DN_R2_rmphix_fastqc
115-119	427736.0	V01_DN_R2_rmphix_fastqc
120-124	432129.0	V01_DN_R2_rmphix_fastqc
125-129	458251.0	V01_DN_R2_rmphix_fastqc
130-134	522606.0	V01_DN_R2_rmphix_fastqc
135-139	522333.0	V01_DN_R2_rmphix_fastqc
140-144	537013.0	V01_DN_R2_rmphix_fastqc
145-149	688225.0	V01_DN_R2_rmphix_fastqc
150-152	3.2110109E7	V01_DN_R2_rmphix_fastqc
50-54	304648.0	V03_DN_R1_rmphix_fastqc
55-59	311636.0	V03_DN_R1_rmphix_fastqc
60-64	298156.0	V03_DN_R1_rmphix_fastqc
65-69	282130.0	V03_DN_R1_rmphix_fastqc
70-74	287278.0	V03_DN_R1_rmphix_fastqc
75-79	290922.0	V03_DN_R1_rmphix_fastqc
80-84	283794.0	V03_DN_R1_rmphix_fastqc
85-89	294852.0	V03_DN_R1_rmphix_fastqc
90-94	288689.0	V03_DN_R1_rmphix_fastqc
95-99	295228.0	V03_DN_R1_rmphix_fastqc
100-104	305321.0	V03_DN_R1_rmphix_fastqc
105-109	301564.0	V03_DN_R1_rmphix_fastqc
110-114	313037.0	V03_DN_R1_rmphix_fastqc
