Measure	Value	Library
Filename	V01_DN_S218_L003_R1_001.fastq.gz	V01_DN_S218_L003_R1_001_fastqc
File type	Conventional base calls	V01_DN_S218_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	V01_DN_S218_L003_R1_001_fastqc
Total Sequences	8135683	V01_DN_S218_L003_R1_001_fastqc
Sequences flagged as poor quality	0	V01_DN_S218_L003_R1_001_fastqc
Sequence length	151	V01_DN_S218_L003_R1_001_fastqc
%GC	59	V01_DN_S218_L003_R1_001_fastqc
Filename	V01_DN_S218_L003_R2_001.fastq.gz	V01_DN_S218_L003_R2_001_fastqc
File type	Conventional base calls	V01_DN_S218_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	V01_DN_S218_L003_R2_001_fastqc
Total Sequences	8135683	V01_DN_S218_L003_R2_001_fastqc
Sequences flagged as poor quality	0	V01_DN_S218_L003_R2_001_fastqc
Sequence length	151	V01_DN_S218_L003_R2_001_fastqc
%GC	58	V01_DN_S218_L003_R2_001_fastqc
Filename	V03_DN_S219_L003_R1_001.fastq.gz	V03_DN_S219_L003_R1_001_fastqc
File type	Conventional base calls	V03_DN_S219_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	V03_DN_S219_L003_R1_001_fastqc
Total Sequences	8200835	V03_DN_S219_L003_R1_001_fastqc
Sequences flagged as poor quality	0	V03_DN_S219_L003_R1_001_fastqc
Sequence length	151	V03_DN_S219_L003_R1_001_fastqc
%GC	59	V03_DN_S219_L003_R1_001_fastqc
Filename	V03_DN_S219_L003_R2_001.fastq.gz	V03_DN_S219_L003_R2_001_fastqc
File type	Conventional base calls	V03_DN_S219_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	V03_DN_S219_L003_R2_001_fastqc
Total Sequences	8200835	V03_DN_S219_L003_R2_001_fastqc
Sequences flagged as poor quality	0	V03_DN_S219_L003_R2_001_fastqc
Sequence length	151	V03_DN_S219_L003_R2_001_fastqc
%GC	58	V03_DN_S219_L003_R2_001_fastqc
Filename	V05_DN_S220_L003_R1_001.fastq.gz	V05_DN_S220_L003_R1_001_fastqc
File type	Conventional base calls	V05_DN_S220_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	V05_DN_S220_L003_R1_001_fastqc
Total Sequences	10033994	V05_DN_S220_L003_R1_001_fastqc
Sequences flagged as poor quality	0	V05_DN_S220_L003_R1_001_fastqc
Sequence length	151	V05_DN_S220_L003_R1_001_fastqc
%GC	59	V05_DN_S220_L003_R1_001_fastqc
Filename	V05_DN_S220_L003_R2_001.fastq.gz	V05_DN_S220_L003_R2_001_fastqc
File type	Conventional base calls	V05_DN_S220_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	V05_DN_S220_L003_R2_001_fastqc
Total Sequences	10033994	V05_DN_S220_L003_R2_001_fastqc
Sequences flagged as poor quality	0	V05_DN_S220_L003_R2_001_fastqc
Sequence length	151	V05_DN_S220_L003_R2_001_fastqc
%GC	58	V05_DN_S220_L003_R2_001_fastqc
Filename	V09_DN_S221_L003_R1_001.fastq.gz	V09_DN_S221_L003_R1_001_fastqc
File type	Conventional base calls	V09_DN_S221_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	V09_DN_S221_L003_R1_001_fastqc
Total Sequences	9473164	V09_DN_S221_L003_R1_001_fastqc
Sequences flagged as poor quality	0	V09_DN_S221_L003_R1_001_fastqc
Sequence length	151	V09_DN_S221_L003_R1_001_fastqc
%GC	58	V09_DN_S221_L003_R1_001_fastqc
Filename	V09_DN_S221_L003_R2_001.fastq.gz	V09_DN_S221_L003_R2_001_fastqc
File type	Conventional base calls	V09_DN_S221_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	V09_DN_S221_L003_R2_001_fastqc
Total Sequences	9473164	V09_DN_S221_L003_R2_001_fastqc
Sequences flagged as poor quality	0	V09_DN_S221_L003_R2_001_fastqc
Sequence length	151	V09_DN_S221_L003_R2_001_fastqc
%GC	59	V09_DN_S221_L003_R2_001_fastqc
Filename	V10_DN_S222_L003_R1_001.fastq.gz	V10_DN_S222_L003_R1_001_fastqc
File type	Conventional base calls	V10_DN_S222_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	V10_DN_S222_L003_R1_001_fastqc
Total Sequences	9363831	V10_DN_S222_L003_R1_001_fastqc
Sequences flagged as poor quality	0	V10_DN_S222_L003_R1_001_fastqc
Sequence length	151	V10_DN_S222_L003_R1_001_fastqc
%GC	59	V10_DN_S222_L003_R1_001_fastqc
Filename	V10_DN_S222_L003_R2_001.fastq.gz	V10_DN_S222_L003_R2_001_fastqc
File type	Conventional base calls	V10_DN_S222_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	V10_DN_S222_L003_R2_001_fastqc
Total Sequences	9363831	V10_DN_S222_L003_R2_001_fastqc
Sequences flagged as poor quality	0	V10_DN_S222_L003_R2_001_fastqc
Sequence length	151	V10_DN_S222_L003_R2_001_fastqc
%GC	59	V10_DN_S222_L003_R2_001_fastqc
