Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
1	36.1188517300883	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
2	36.39052762994822	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
3	36.566966903700646	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
4	36.644657123440034	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
5	36.63364907408511	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
6	36.709606187950044	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
7	36.671161228872855	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
8	36.71376072543633	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
9	36.748786918074366	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
10-14	36.75810389859094	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
15-19	36.75960233455507	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
20-24	36.72879661117573	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
25-29	36.70301133906029	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
30-34	36.6841419460419	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
35-39	36.68395971180293	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
40-44	36.6537326245381	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
45-49	36.54123104353992	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
50-54	36.58625511834716	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
55-59	36.51677982045269	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
60-64	36.46196844198575	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
65-69	36.41470339982519	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
70-74	36.27047609893354	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
75-79	36.44682451368865	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
80-84	36.428368239027996	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
85-89	36.39520352501444	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
90-94	36.39716112341152	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
95-99	36.36775901912599	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
100-104	36.36189236970024	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
105-109	36.31900082635963	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
110-114	36.296666524494626	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
115-119	36.26408047117864	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
120-124	36.199895571152425	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
125-129	36.1835826445057	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
130-134	36.16655911986738	37.0	37.0	37.0	37.0	37.0	V01_DN_S218_L003_R1_001_fastqc
