Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	Library
1	77.73391906312139	57.405796342237224	V01_DN_S218_L003_R1_001_fastqc
2	16.467624565851274	24.32238367655308	V01_DN_S218_L003_R1_001_fastqc
3	4.176429430941243	9.25276611188185	V01_DN_S218_L003_R1_001_fastqc
4	1.1120028893683513	3.2848163153705596	V01_DN_S218_L003_R1_001_fastqc
5	0.3288287378558139	1.2141852478515558	V01_DN_S218_L003_R1_001_fastqc
6	0.09721482777954922	0.43075362767392494	V01_DN_S218_L003_R1_001_fastqc
7	0.03899566245241997	0.2015856088009067	V01_DN_S218_L003_R1_001_fastqc
8	0.012281536226342479	0.07255842760807944	V01_DN_S218_L003_R1_001_fastqc
9	0.00868642725768342	0.0577336318682436	V01_DN_S218_L003_R1_001_fastqc
>10	0.020150390041368045	0.24676521551914585	V01_DN_S218_L003_R1_001_fastqc
>50	0.0019565003559909584	0.10207513780332353	V01_DN_S218_L003_R1_001_fastqc
>100	0.0016778459308398584	0.23393967413516728	V01_DN_S218_L003_R1_001_fastqc
>500	4.642456357592781E-5	0.019096255074214932	V01_DN_S218_L003_R1_001_fastqc
>1k	1.1606140893981952E-4	0.2132986551961009	V01_DN_S218_L003_R1_001_fastqc
>5k	4.642456357592781E-5	0.24466862538085254	V01_DN_S218_L003_R1_001_fastqc
>10k+	2.3212281787963905E-5	2.6975774470456972	V01_DN_S218_L003_R1_001_fastqc
1	79.57991798744295	61.27225542532256	V01_DN_S218_L003_R2_001_fastqc
2	15.08759499207009	23.23327285292771	V01_DN_S218_L003_R2_001_fastqc
3	3.7982792085319823	8.773411925804684	V01_DN_S218_L003_R2_001_fastqc
4	1.0320678323358297	3.1785468212781125	V01_DN_S218_L003_R2_001_fastqc
5	0.3076522361460469	1.1843783502193794	V01_DN_S218_L003_R2_001_fastqc
6	0.0951587787983537	0.43960284061221433	V01_DN_S218_L003_R2_001_fastqc
7	0.03901660136253381	0.21028478760474062	V01_DN_S218_L003_R2_001_fastqc
8	0.016282343229657794	0.10029222633255645	V01_DN_S218_L003_R2_001_fastqc
9	0.009274624422122325	0.06426865644549858	V01_DN_S218_L003_R2_001_fastqc
>10	0.032218022404577606	0.4251746485008482	V01_DN_S218_L003_R2_001_fastqc
>50	0.0014966123958011356	0.07967614444183757	V01_DN_S218_L003_R2_001_fastqc
>100	9.089296970577478E-4	0.1255291163528429	V01_DN_S218_L003_R2_001_fastqc
>500	6.591558153980689E-5	0.034003472509226744	V01_DN_S218_L003_R2_001_fastqc
>1k	4.394372102653794E-5	0.08385831503892387	V01_DN_S218_L003_R2_001_fastqc
>5k	0.0	0.0	V01_DN_S218_L003_R2_001_fastqc
>10k+	2.197186051326897E-5	0.7954444166088764	V01_DN_S218_L003_R2_001_fastqc
1	77.71978326876668	59.175677478776365	V03_DN_S219_L003_R1_001_fastqc
2	16.57348922485197	25.238038806059038	V03_DN_S219_L003_R1_001_fastqc
3	4.114392805471884	9.398069761812362	V03_DN_S219_L003_R1_001_fastqc
4	1.1184254410753558	3.406266996718748	V03_DN_S219_L003_R1_001_fastqc
5	0.33019628562389536	1.2570537436522902	V03_DN_S219_L003_R1_001_fastqc
6	0.09116408211622638	0.4164728279518868	V03_DN_S219_L003_R1_001_fastqc
7	0.02692279134289532	0.14349269198014758	V03_DN_S219_L003_R1_001_fastqc
8	0.011019534167500837	0.06712199879481047	V03_DN_S219_L003_R1_001_fastqc
9	0.0054028363865362625	0.037023373075704004	V03_DN_S219_L003_R1_001_fastqc
>10	0.008803737567903869	0.10484767329709124	V03_DN_S219_L003_R1_001_fastqc
>50	1.6438301035519594E-4	0.008533791856929157	V03_DN_S219_L003_R1_001_fastqc
>100	1.2264238752341089E-4	0.019300732177528295	V03_DN_S219_L003_R1_001_fastqc
>500	2.2593446250323486E-5	0.011181691210882845	V03_DN_S219_L003_R1_001_fastqc
>1k	6.778033875097046E-5	0.10006753503647	V03_DN_S219_L003_R1_001_fastqc
>5k	0.0	0.0	V03_DN_S219_L003_R1_001_fastqc
>10k+	2.2593446250323486E-5	0.6168508975997492	V03_DN_S219_L003_R1_001_fastqc
1	79.70383646312081	62.25658409651628	V03_DN_S219_L003_R2_001_fastqc
2	15.148537277650872	23.665013550549897	V03_DN_S219_L003_R2_001_fastqc
3	3.7428695909815497	8.770654680884322	V03_DN_S219_L003_R2_001_fastqc
4	0.9909784185285403	3.096208864651136	V03_DN_S219_L003_R2_001_fastqc
5	0.2840951469825556	1.1095321250762726	V03_DN_S219_L003_R2_001_fastqc
6	0.0796565651705347	0.3733179632330722	V03_DN_S219_L003_R2_001_fastqc
7	0.02555764580748807	0.13974135465629128	V03_DN_S219_L003_R2_001_fastqc
8	0.011275524962453577	0.07045840694327589	V03_DN_S219_L003_R2_001_fastqc
9	0.0048271044244062805	0.033934016389761845	V03_DN_S219_L003_R2_001_fastqc
>10	0.007919219787851763	0.09441515244243409	V03_DN_S219_L003_R2_001_fastqc
>50	2.4336197757242713E-4	0.013836922929258148	V03_DN_S219_L003_R2_001_fastqc
>100	1.6060125172338027E-4	0.02263254417551424	V03_DN_S219_L003_R2_001_fastqc
>500	2.153967683655823E-5	0.008950697448547075	V03_DN_S219_L003_R2_001_fastqc
>1k	0.0	0.0	V03_DN_S219_L003_R2_001_fastqc
>5k	0.0	0.0	V03_DN_S219_L003_R2_001_fastqc
>10k+	2.153967683655823E-5	0.3447196241039117	V03_DN_S219_L003_R2_001_fastqc
1	76.23813832354777	57.17441612901874	V05_DN_S220_L003_R1_001_fastqc
2	17.319723066737776	25.97768192225575	V05_DN_S220_L003_R1_001_fastqc
3	4.544491199368663	10.22435633821532	V05_DN_S220_L003_R1_001_fastqc
4	1.2950129720899142	3.884754386027642	V05_DN_S220_L003_R1_001_fastqc
5	0.39826380018475915	1.493379871387457	V05_DN_S220_L003_R1_001_fastqc
6	0.12881562073349032	0.5796278397416956	V05_DN_S220_L003_R1_001_fastqc
7	0.04720894942037427	0.24782883278229415	V05_DN_S220_L003_R1_001_fastqc
8	0.013229806565480983	0.0793730258911741	V05_DN_S220_L003_R1_001_fastqc
9	0.005142793192577426	0.03471131169665228	V05_DN_S220_L003_R1_001_fastqc
>10	0.009626237191507604	0.10223581249984119	V05_DN_S220_L003_R1_001_fastqc
>50	2.250299831367789E-4	0.010581668685536592	V05_DN_S220_L003_R1_001_fastqc
>100	8.390542871763537E-5	0.011727907891808633	V05_DN_S220_L003_R1_001_fastqc
>500	0.0	0.0	V05_DN_S220_L003_R1_001_fastqc
>1k	1.914777793782523E-5	0.016068595725568926	V05_DN_S220_L003_R1_001_fastqc
>5k	0.0	0.0	V05_DN_S220_L003_R1_001_fastqc
>10k+	1.914777793782523E-5	0.16325635818051215	V05_DN_S220_L003_R1_001_fastqc
1	77.5623070584716	59.05835859270443	V05_DN_S220_L003_R2_001_fastqc
2	16.38397332357205	24.95053611510995	V05_DN_S220_L003_R2_001_fastqc
3	4.2785557190351655	9.773477124261715	V05_DN_S220_L003_R2_001_fastqc
4	1.218227685858851	3.710386152633363	V05_DN_S220_L003_R2_001_fastqc
5	0.3640739118859284	1.3860861324172897	V05_DN_S220_L003_R2_001_fastqc
6	0.1217690221272104	0.5563123775199469	V05_DN_S220_L003_R2_001_fastqc
7	0.0410719496960534	0.2189142403920116	V05_DN_S220_L003_R2_001_fastqc
8	0.015608869910801914	0.09508064124230592	V05_DN_S220_L003_R2_001_fastqc
9	0.005681080976560199	0.03893176946496124	V05_DN_S220_L003_R2_001_fastqc
>10	0.008324676984010453	0.10038078089624053	V05_DN_S220_L003_R2_001_fastqc
>50	3.6484195439476767E-4	0.01872751306873797	V05_DN_S220_L003_R2_001_fastqc
>100	2.326245804070797E-5	0.0019838292048247087	V05_DN_S220_L003_R2_001_fastqc
>500	0.0	0.0	V05_DN_S220_L003_R2_001_fastqc
>1k	0.0	0.0	V05_DN_S220_L003_R2_001_fastqc
>5k	1.85970693725441E-5	0.09082473108423292	V05_DN_S220_L003_R2_001_fastqc
>10k+	0.0	0.0	V05_DN_S220_L003_R2_001_fastqc
1	76.11243287623151	56.98879790967191	V09_DN_S221_L003_R1_001_fastqc
2	17.3363284723172	25.960975952802652	V09_DN_S221_L003_R1_001_fastqc
3	4.6024697052607175	10.338227514485283	V09_DN_S221_L003_R1_001_fastqc
4	1.341254855523097	4.017031069342767	V09_DN_S221_L003_R1_001_fastqc
5	0.39252468305804666	1.4695043235399339	V09_DN_S221_L003_R1_001_fastqc
6	0.12791207362736595	0.5746410964955575	V09_DN_S221_L003_R1_001_fastqc
7	0.04521252168881384	0.23696852339357652	V09_DN_S221_L003_R1_001_fastqc
8	0.019053052856332315	0.11412701318403373	V09_DN_S221_L003_R1_001_fastqc
9	0.008452345889364516	0.05695785986521221	V09_DN_S221_L003_R1_001_fastqc
>10	0.013786498549228383	0.1485678246914531	V09_DN_S221_L003_R1_001_fastqc
>50	3.082098584343037E-4	0.016238945223372714	V09_DN_S221_L003_R1_001_fastqc
>100	2.2505403144436909E-4	0.026719501882943107	V09_DN_S221_L003_R1_001_fastqc
>500	1.982555424952821E-5	0.00966362832828464	V09_DN_S221_L003_R1_001_fastqc
