Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
1	2.0895602741650578E-4	0.0	0.0	0.0	1.229153102450034E-5	V01_DN_S218_L003_R1_001_fastqc
2	2.5812215151450716E-4	0.0	2.458306204900068E-5	0.0	1.229153102450034E-5	V01_DN_S218_L003_R1_001_fastqc
3	5.777019581515159E-4	0.0	3.687459307350102E-5	0.0	4.916612409800136E-5	V01_DN_S218_L003_R1_001_fastqc
4	7.497833924945208E-4	0.0	3.687459307350102E-5	0.0	9.833224819600272E-5	V01_DN_S218_L003_R1_001_fastqc
5	0.001917478839822053	0.0	3.687459307350102E-5	0.0	9.833224819600272E-5	V01_DN_S218_L003_R1_001_fastqc
6	0.0021141433362140585	2.458306204900068E-5	4.916612409800136E-5	0.0	1.229153102450034E-4	V01_DN_S218_L003_R1_001_fastqc
7	0.0022985163015815636	2.458306204900068E-5	4.916612409800136E-5	0.0	1.229153102450034E-4	V01_DN_S218_L003_R1_001_fastqc
8	0.00288850979075758	6.14576551225017E-5	4.916612409800136E-5	0.0	1.597899033185044E-4	V01_DN_S218_L003_R1_001_fastqc
9	0.0030114251010025833	6.14576551225017E-5	4.916612409800136E-5	0.0	1.843729653675051E-4	V01_DN_S218_L003_R1_001_fastqc
10-14	0.0047543642002767315	6.14576551225017E-5	9.341563578620259E-5	0.0	2.458306204900068E-4	V01_DN_S218_L003_R1_001_fastqc
15-19	0.012035867179190734	7.374918614700204E-5	1.3766514747440381E-4	0.0	4.129954424232114E-4	V01_DN_S218_L003_R1_001_fastqc
20-24	0.056482043363783964	1.0816547301560301E-4	1.8683127157240518E-4	0.0	6.85867431167119E-4	V01_DN_S218_L003_R1_001_fastqc
25-29	0.06433141507602988	1.229153102450034E-4	2.4337231428510673E-4	0.0	8.407407220758234E-4	V01_DN_S218_L003_R1_001_fastqc
30-34	0.07697202558162604	1.3274853506460368E-4	3.515377873007097E-4	0.0	0.0010226553812384283	V01_DN_S218_L003_R1_001_fastqc
35-39	0.09623039639081317	1.7208143434300477E-4	4.154537486281115E-4	0.0	0.0011431123852785317	V01_DN_S218_L003_R1_001_fastqc
40-44	0.12430916986318172	2.2616417085080627E-4	4.597032603163127E-4	0.0	0.0013250270444411364	V01_DN_S218_L003_R1_001_fastqc
45-49	0.1591581186238451	3.097465818174086E-4	5.604938147172155E-4	0.0	0.0014995667849890411	V01_DN_S218_L003_R1_001_fastqc
50-54	0.20121973778968524	3.195798066370088E-4	6.022850202005166E-4	0.0	0.0016347736262585452	V01_DN_S218_L003_R1_001_fastqc
55-59	0.2570085388036874	3.195798066370088E-4	6.416179194789177E-4	0.0	0.0017503140178888488	V01_DN_S218_L003_R1_001_fastqc
60-64	0.4442872221053844	3.417045624811095E-4	7.129087994210198E-4	0.0	0.0018609377971093514	V01_DN_S218_L003_R1_001_fastqc
65-69	0.7231156867837648	4.228286672428117E-4	7.571583111092209E-4	0.0	0.001949436820485754	V01_DN_S218_L003_R1_001_fastqc
70-74	0.8081411234926434	4.818280161604133E-4	7.866579855680218E-4	0.0	0.002128893173443459	V01_DN_S218_L003_R1_001_fastqc
75-79	0.8940687585787204	4.916612409800136E-4	7.94032904182722E-4	0.0	0.002364890569113865	V01_DN_S218_L003_R1_001_fastqc
80-84	0.9969980393778861	4.916612409800136E-4	8.431990282807232E-4	0.0	0.0025443469220715704	V01_DN_S218_L003_R1_001_fastqc
85-89	1.1159653098578202	5.187026092339144E-4	0.0010177387688286282	0.0	0.0027459280308733762	V01_DN_S218_L003_R1_001_fastqc
90-94	1.256361635525868	5.43285671282915E-4	0.0010939462611805305	0.0	0.00291063454660168	V01_DN_S218_L003_R1_001_fastqc
95-99	1.4178944779436464	5.949101015858165E-4	0.0011136127108197307	0.0	0.0030482996940760843	V01_DN_S218_L003_R1_001_fastqc
100-104	1.6060237351922388	6.662009815279184E-4	0.001157862222507932	2.458306204900068E-6	0.003208089597394588	V01_DN_S218_L003_R1_001_fastqc
105-109	1.8192252574246068	7.104504932161197E-4	0.001197195121786333	1.229153102450034E-5	0.0033826293379424937	V01_DN_S218_L003_R1_001_fastqc
110-114	2.0622312840851835	7.252003304455201E-4	0.0012463612458843345	2.7041368253900746E-5	0.0035153778730070973	V01_DN_S218_L003_R1_001_fastqc
115-119	2.3419103227104596	7.350335552651202E-4	0.0013225687382362368	3.687459307350102E-5	0.0037046674507844025	V01_DN_S218_L003_R1_001_fastqc
120-124	2.664850633929567	7.374918614700204E-4	0.0013619016375146374	5.162443030290143E-5	0.003920998396815608	V01_DN_S218_L003_R1_001_fastqc
125-129	3.0318265841970486	7.522416986994208E-4	0.0013864846995636382	6.14576551225017E-5	0.004061121850494912	V01_DN_S218_L003_R1_001_fastqc
130-134	3.439952122028353	7.817413731582215E-4	0.0014012345367930387	6.14576551225017E-5	0.004161912404895815	V01_DN_S218_L003_R1_001_fastqc
135-139	3.890980019747574	8.235325786415228E-4	0.0014356508236616397	6.14576551225017E-5	0.004304494164780019	V01_DN_S218_L003_R1_001_fastqc
140	4.182992380602833	8.358241096660231E-4	0.0014749837229400408	6.14576551225017E-5	0.004424951168820123	V01_DN_S218_L003_R1_001_fastqc
1	1.597899033185044E-4	1.229153102450034E-5	0.0	0.0	7.374918614700204E-5	V01_DN_S218_L003_R2_001_fastqc
2	2.0895602741650578E-4	1.229153102450034E-5	0.0	0.0	8.604071717150238E-5	V01_DN_S218_L003_R2_001_fastqc
3	5.162443030290143E-4	3.687459307350102E-5	2.458306204900068E-5	0.0	1.4749837229400409E-4	V01_DN_S218_L003_R2_001_fastqc
4	7.252003304455201E-4	3.687459307350102E-5	3.687459307350102E-5	0.0	2.3353908946550646E-4	V01_DN_S218_L003_R2_001_fastqc
5	0.0019420619018710537	6.14576551225017E-5	4.916612409800136E-5	0.0	3.072882756125085E-4	V01_DN_S218_L003_R2_001_fastqc
6	0.0029868420389535825	6.14576551225017E-5	6.14576551225017E-5	0.0	3.318713376615092E-4	V01_DN_S218_L003_R2_001_fastqc
7	0.003576835528129599	6.14576551225017E-5	7.374918614700204E-5	0.0	4.302035858575119E-4	V01_DN_S218_L003_R2_001_fastqc
8	0.004842863223653134	7.374918614700204E-5	7.374918614700204E-5	0.0	5.162443030290143E-4	V01_DN_S218_L003_R2_001_fastqc
9	0.005297649871559646	7.374918614700204E-5	9.833224819600272E-5	0.0	5.531188961025153E-4	V01_DN_S218_L003_R2_001_fastqc
10-14	0.007559291580067709	7.620749235190211E-5	1.2783192265480354E-4	0.0	6.416179194789178E-4	V01_DN_S218_L003_R2_001_fastqc
15-19	0.014351591624206596	1.1308208542540315E-4	1.4995667849890417E-4	2.458306204900068E-6	8.825319275591244E-4	V01_DN_S218_L003_R2_001_fastqc
20-24	0.048192634840860935	1.5733159711360433E-4	2.1141433362140586E-4	1.229153102450034E-5	0.0011037794860001306	V01_DN_S218_L003_R2_001_fastqc
25-29	0.05524305703651432	1.7208143434300477E-4	2.5812215151450716E-4	1.229153102450034E-5	0.001297985676187236	V01_DN_S218_L003_R2_001_fastqc
30-34	0.06649718284254684	1.9420619018710537E-4	3.1712150043210874E-4	3.441628686860095E-5	0.0014012345367930387	V01_DN_S218_L003_R2_001_fastqc
35-39	0.08437398556458013	2.1633094603120597E-4	3.4416286868600953E-4	3.687459307350102E-5	0.0016126488704144445	V01_DN_S218_L003_R2_001_fastqc
40-44	0.10950033328486372	2.2124755844100613E-4	4.6953648513591305E-4	3.687459307350102E-5	0.0017650638551182489	V01_DN_S218_L003_R2_001_fastqc
45-49	0.13890659210787834	2.2616417085080627E-4	5.285358340535146E-4	4.916612409800136E-5	0.0019592700453053545	V01_DN_S218_L003_R2_001_fastqc
50-54	0.17435045097012752	2.458306204900068E-4	5.629521209221156E-4	4.916612409800136E-5	0.0020969351927797577	V01_DN_S218_L003_R2_001_fastqc
55-59	0.22277662490045397	2.7041368253900746E-4	6.391596132740177E-4	4.916612409800136E-5	0.0022296837278443617	V01_DN_S218_L003_R2_001_fastqc
60-64	0.29053983543852435	2.7533029494880763E-4	6.957006559867192E-4	6.14576551225017E-5	0.0024066817745971663	V01_DN_S218_L003_R2_001_fastqc
65-69	0.35363226418728455	2.999133569978083E-4	7.374918614700204E-4	7.374918614700204E-5	0.0026033462709891724	V01_DN_S218_L003_R2_001_fastqc
70-74	0.41839142454296707	3.072882756125085E-4	7.915745979778218E-4	7.374918614700204E-5	0.0027016785191851748	V01_DN_S218_L003_R2_001_fastqc
75-79	0.4963025230948649	3.146631942272087E-4	8.259908848464229E-4	7.374918614700204E-5	0.002849176891479179	V01_DN_S218_L003_R2_001_fastqc
80-84	0.590295860839219	3.318713376615092E-4	8.431990282807232E-4	7.374918614700204E-5	0.003055674612690785	V01_DN_S218_L003_R2_001_fastqc
