Base	N_Count	Library
1	0.011418832321760816	V01_DN_S218_L003_R1_001_fastqc
2	0.004129954424232115	V01_DN_S218_L003_R1_001_fastqc
3	0.0	V01_DN_S218_L003_R1_001_fastqc
4	0.022309128809468115	V01_DN_S218_L003_R1_001_fastqc
5	0.0038472492106686063	V01_DN_S218_L003_R1_001_fastqc
6	0.0	V01_DN_S218_L003_R1_001_fastqc
7	6.883257373720191E-4	V01_DN_S218_L003_R1_001_fastqc
8	0.0	V01_DN_S218_L003_R1_001_fastqc
9	2.458306204900068E-5	V01_DN_S218_L003_R1_001_fastqc
10-14	2.8024690735860774E-4	V01_DN_S218_L003_R1_001_fastqc
15-19	4.4249511688201226E-5	V01_DN_S218_L003_R1_001_fastqc
20-24	1.7208143434300477E-4	V01_DN_S218_L003_R1_001_fastqc
25-29	3.8841238037421073E-4	V01_DN_S218_L003_R1_001_fastqc
30-34	0.001369276556129338	V01_DN_S218_L003_R1_001_fastqc
35-39	0.0017552306302986485	V01_DN_S218_L003_R1_001_fastqc
40-44	0.0018732293281338518	V01_DN_S218_L003_R1_001_fastqc
45-49	0.0010324886060580287	V01_DN_S218_L003_R1_001_fastqc
50-54	0.0026500540888822733	V01_DN_S218_L003_R1_001_fastqc
55-59	0.0029425925272653815	V01_DN_S218_L003_R1_001_fastqc
60-64	0.001526608153242942	V01_DN_S218_L003_R1_001_fastqc
65-69	0.0021633094603120597	V01_DN_S218_L003_R1_001_fastqc
70-74	0.0019076456150024527	V01_DN_S218_L003_R1_001_fastqc
75-79	0.0015929824207752442	V01_DN_S218_L003_R1_001_fastqc
80-84	0.0011701537535324324	V01_DN_S218_L003_R1_001_fastqc
85-89	0.0014946501725792414	V01_DN_S218_L003_R1_001_fastqc
90-94	0.001843729653675051	V01_DN_S218_L003_R1_001_fastqc
95-99	0.001919937146026953	V01_DN_S218_L003_R1_001_fastqc
100-104	0.002234600340254162	V01_DN_S218_L003_R1_001_fastqc
105-109	0.0017773553861427493	V01_DN_S218_L003_R1_001_fastqc
110-114	0.0028442602790693786	V01_DN_S218_L003_R1_001_fastqc
115-119	0.0048576130608825345	V01_DN_S218_L003_R1_001_fastqc
120-124	0.0030827159809446855	V01_DN_S218_L003_R1_001_fastqc
125-129	0.0019666449639200545	V01_DN_S218_L003_R1_001_fastqc
130-134	0.0036333765708423003	V01_DN_S218_L003_R1_001_fastqc
135-139	0.0047322394444326305	V01_DN_S218_L003_R1_001_fastqc
140-144	0.004267619571706518	V01_DN_S218_L003_R1_001_fastqc
145-149	0.0034096707061963944	V01_DN_S218_L003_R1_001_fastqc
150-151	0.003490794810958097	V01_DN_S218_L003_R1_001_fastqc
1	0.01377880627846488	V01_DN_S218_L003_R2_001_fastqc
2	0.01374193168539138	V01_DN_S218_L003_R2_001_fastqc
3	0.0052116091543881445	V01_DN_S218_L003_R2_001_fastqc
4	0.0	V01_DN_S218_L003_R2_001_fastqc
5	0.004031622176036111	V01_DN_S218_L003_R2_001_fastqc
6	1.229153102450034E-5	V01_DN_S218_L003_R2_001_fastqc
7	0.004904320878775636	V01_DN_S218_L003_R2_001_fastqc
8	0.0	V01_DN_S218_L003_R2_001_fastqc
9	1.229153102450034E-4	V01_DN_S218_L003_R2_001_fastqc
10-14	0.00217068437892676	V01_DN_S218_L003_R2_001_fastqc
15-19	0.004137329342846815	V01_DN_S218_L003_R2_001_fastqc
20-24	0.006460428706477379	V01_DN_S218_L003_R2_001_fastqc
25-29	0.00144794235468614	V01_DN_S218_L003_R2_001_fastqc
30-34	0.00396033129609401	V01_DN_S218_L003_R2_001_fastqc
35-39	0.0020084361694033557	V01_DN_S218_L003_R2_001_fastqc
40-44	0.00648747007473128	V01_DN_S218_L003_R2_001_fastqc
45-49	0.0022935996891717634	V01_DN_S218_L003_R2_001_fastqc
50-54	0.00399474758296261	V01_DN_S218_L003_R2_001_fastqc
55-59	0.00937843817169376	V01_DN_S218_L003_R2_001_fastqc
60-64	0.008466406569675834	V01_DN_S218_L003_R2_001_fastqc
65-69	0.011332791604589313	V01_DN_S218_L003_R2_001_fastqc
70-74	0.014948960031997314	V01_DN_S218_L003_R2_001_fastqc
75-79	0.012328405617573842	V01_DN_S218_L003_R2_001_fastqc
80-84	0.008481156406905234	V01_DN_S218_L003_R2_001_fastqc
85-89	0.012751234284816653	V01_DN_S218_L003_R2_001_fastqc
90-94	0.01374193168539138	V01_DN_S218_L003_R2_001_fastqc
95-99	0.016040447986972944	V01_DN_S218_L003_R2_001_fastqc
100-104	0.013798472728104083	V01_DN_S218_L003_R2_001_fastqc
105-109	0.011283625480491312	V01_DN_S218_L003_R2_001_fastqc
110-114	0.01266765187385005	V01_DN_S218_L003_R2_001_fastqc
115-119	0.012104699752927935	V01_DN_S218_L003_R2_001_fastqc
120-124	0.011406540790736316	V01_DN_S218_L003_R2_001_fastqc
125-129	0.015032542442963915	V01_DN_S218_L003_R2_001_fastqc
130-134	0.010669048929266296	V01_DN_S218_L003_R2_001_fastqc
135-139	0.0108214639139701	V01_DN_S218_L003_R2_001_fastqc
140-144	0.0026967619067753746	V01_DN_S218_L003_R2_001_fastqc
145-149	0.002246891871278662	V01_DN_S218_L003_R2_001_fastqc
150-151	0.003392462562762094	V01_DN_S218_L003_R2_001_fastqc
1	0.012413370101946935	V03_DN_S219_L003_R1_001_fastqc
2	0.0034996436338494796	V03_DN_S219_L003_R1_001_fastqc
3	0.0	V03_DN_S219_L003_R1_001_fastqc
4	0.022802556081179537	V03_DN_S219_L003_R1_001_fastqc
5	0.003706939598223839	V03_DN_S219_L003_R1_001_fastqc
6	0.0	V03_DN_S219_L003_R1_001_fastqc
7	7.194389351816003E-4	V03_DN_S219_L003_R1_001_fastqc
8	0.0	V03_DN_S219_L003_R1_001_fastqc
9	7.316328154389157E-5	V03_DN_S219_L003_R1_001_fastqc
10-14	3.463061993077534E-4	V03_DN_S219_L003_R1_001_fastqc
15-19	2.194898446316747E-5	V03_DN_S219_L003_R1_001_fastqc
20-24	2.048571883228964E-4	V03_DN_S219_L003_R1_001_fastqc
25-29	4.097143766457928E-4	V03_DN_S219_L003_R1_001_fastqc
30-34	0.001397418677488329	V03_DN_S219_L003_R1_001_fastqc
35-39	0.0017437248767960822	V03_DN_S219_L003_R1_001_fastqc
40-44	0.0019437045130160527	V03_DN_S219_L003_R1_001_fastqc
45-49	0.0010706226865922798	V03_DN_S219_L003_R1_001_fastqc
50-54	0.002753378162101786	V03_DN_S219_L003_R1_001_fastqc
55-59	0.0029631129025276086	V03_DN_S219_L003_R1_001_fastqc
60-64	0.0015705717771422058	V03_DN_S219_L003_R1_001_fastqc
65-69	0.0023290311291472147	V03_DN_S219_L003_R1_001_fastqc
70-74	0.0019241943046043482	V03_DN_S219_L003_R1_001_fastqc
75-79	0.0016486126107890233	V03_DN_S219_L003_R1_001_fastqc
80-84	0.0012242655778344522	V03_DN_S219_L003_R1_001_fastqc
85-89	0.0015291125842673337	V03_DN_S219_L003_R1_001_fastqc
90-94	0.0018510310230604567	V03_DN_S219_L003_R1_001_fastqc
95-99	0.0020290616748172593	V03_DN_S219_L003_R1_001_fastqc
100-104	0.002209531102625525	V03_DN_S219_L003_R1_001_fastqc
105-109	0.001736408548641693	V03_DN_S219_L003_R1_001_fastqc
110-114	0.0028655618604690866	V03_DN_S219_L003_R1_001_fastqc
115-119	0.0049751031449846266	V03_DN_S219_L003_R1_001_fastqc
120-124	0.0031021231374610022	V03_DN_S219_L003_R1_001_fastqc
125-129	0.0020095514664055553	V03_DN_S219_L003_R1_001_fastqc
130-134	0.003809368192385288	V03_DN_S219_L003_R1_001_fastqc
135-139	0.004845848014257085	V03_DN_S219_L003_R1_001_fastqc
140-144	0.0042702968661118045	V03_DN_S219_L003_R1_001_fastqc
145-149	0.003533786498569963	V03_DN_S219_L003_R1_001_fastqc
