Length	Count	Library
151	8135683.0	V01_DN_S218_L003_R1_001_fastqc
151	8135683.0	V01_DN_S218_L003_R2_001_fastqc
151	8200835.0	V03_DN_S219_L003_R1_001_fastqc
151	8200835.0	V03_DN_S219_L003_R2_001_fastqc
151	1.0033994E7	V05_DN_S220_L003_R1_001_fastqc
151	1.0033994E7	V05_DN_S220_L003_R2_001_fastqc
151	9473164.0	V09_DN_S221_L003_R1_001_fastqc
151	9473164.0	V09_DN_S221_L003_R2_001_fastqc
151	9363831.0	V10_DN_S222_L003_R1_001_fastqc
151	9363831.0	V10_DN_S222_L003_R2_001_fastqc
151	8949342.0	V11_DN_S223_L003_R1_001_fastqc
151	8949342.0	V11_DN_S223_L003_R2_001_fastqc
151	9582416.0	V17_DN_S224_L003_R1_001_fastqc
151	9582416.0	V17_DN_S224_L003_R2_001_fastqc
151	1.1099297E7	V19_DN_S225_L003_R1_001_fastqc
151	1.1099297E7	V19_DN_S225_L003_R2_001_fastqc
151	1.5967819E7	WUB_TM01_S131_L003_R1_001_fastqc
151	1.5967819E7	WUB_TM01_S131_L003_R2_001_fastqc
151	1.6443761E7	WUB_TM02_S132_L003_R1_001_fastqc
151	1.6443761E7	WUB_TM02_S132_L003_R2_001_fastqc
151	1.8160506E7	WUB_TM03_S133_L003_R1_001_fastqc
151	1.8160506E7	WUB_TM03_S133_L003_R2_001_fastqc
151	1.7713782E7	WUB_TM04_S134_L003_R1_001_fastqc
151	1.7713782E7	WUB_TM04_S134_L003_R2_001_fastqc
151	1.8334498E7	WUB_TM05_S135_L003_R1_001_fastqc
151	1.8334498E7	WUB_TM05_S135_L003_R2_001_fastqc
151	1.6836205E7	WUB_TM06_S136_L003_R1_001_fastqc
151	1.6836205E7	WUB_TM06_S136_L003_R2_001_fastqc
151	1.4976317E7	WUB_TM07_S137_L003_R1_001_fastqc
151	1.4976317E7	WUB_TM07_S137_L003_R2_001_fastqc
151	1.6952355E7	WUB_TM08_S138_L003_R1_001_fastqc
151	1.6952355E7	WUB_TM08_S138_L003_R2_001_fastqc
151	1.588795E7	WUB_TM09_S139_L003_R1_001_fastqc
151	1.588795E7	WUB_TM09_S139_L003_R2_001_fastqc
151	1.6035619E7	WUB_TM10_S140_L003_R1_001_fastqc
151	1.6035619E7	WUB_TM10_S140_L003_R2_001_fastqc
151	1.7524591E7	WUB_TM11_S141_L003_R1_001_fastqc
151	1.7524591E7	WUB_TM11_S141_L003_R2_001_fastqc
151	1.9685327E7	WUB_TM12_S142_L003_R1_001_fastqc
151	1.9685327E7	WUB_TM12_S142_L003_R2_001_fastqc
151	1.9293355E7	WUB_TM13_S143_L003_R1_001_fastqc
151	1.9293355E7	WUB_TM13_S143_L003_R2_001_fastqc
151	1.7206868E7	WUB_TM14_S144_L003_R1_001_fastqc
151	1.7206868E7	WUB_TM14_S144_L003_R2_001_fastqc
151	2.2372718E7	WUB_TM15_S145_L003_R1_001_fastqc
151	2.2372718E7	WUB_TM15_S145_L003_R2_001_fastqc
151	1.890495E7	WUB_TM16_S146_L003_R1_001_fastqc
151	1.890495E7	WUB_TM16_S146_L003_R2_001_fastqc
151	1.5839375E7	WUB_TM17_S147_L003_R1_001_fastqc
151	1.5839375E7	WUB_TM17_S147_L003_R2_001_fastqc
151	1.4721453E7	WUB_TM18_S148_L003_R1_001_fastqc
151	1.4721453E7	WUB_TM18_S148_L003_R2_001_fastqc
151	1.8205271E7	WUB_TM19_S149_L003_R1_001_fastqc
151	1.8205271E7	WUB_TM19_S149_L003_R2_001_fastqc
151	1.644464E7	WUB_TM20_S150_L003_R1_001_fastqc
151	1.644464E7	WUB_TM20_S150_L003_R2_001_fastqc
151	1.9452077E7	WUB_TM21_S151_L003_R1_001_fastqc
151	1.9452077E7	WUB_TM21_S151_L003_R2_001_fastqc
