GC_Content	Count	Library
0	39.0	V01_DN_S218_L003_R1_001_fastqc
1	28.5	V01_DN_S218_L003_R1_001_fastqc
2	23.5	V01_DN_S218_L003_R1_001_fastqc
3	28.5	V01_DN_S218_L003_R1_001_fastqc
4	28.0	V01_DN_S218_L003_R1_001_fastqc
5	31.0	V01_DN_S218_L003_R1_001_fastqc
6	34.5	V01_DN_S218_L003_R1_001_fastqc
7	65.5	V01_DN_S218_L003_R1_001_fastqc
8	94.0	V01_DN_S218_L003_R1_001_fastqc
9	101.5	V01_DN_S218_L003_R1_001_fastqc
10	129.5	V01_DN_S218_L003_R1_001_fastqc
11	194.0	V01_DN_S218_L003_R1_001_fastqc
12	268.0	V01_DN_S218_L003_R1_001_fastqc
13	344.0	V01_DN_S218_L003_R1_001_fastqc
14	451.5	V01_DN_S218_L003_R1_001_fastqc
15	570.0	V01_DN_S218_L003_R1_001_fastqc
16	716.5	V01_DN_S218_L003_R1_001_fastqc
17	857.5	V01_DN_S218_L003_R1_001_fastqc
18	1070.5	V01_DN_S218_L003_R1_001_fastqc
19	1369.5	V01_DN_S218_L003_R1_001_fastqc
20	1727.0	V01_DN_S218_L003_R1_001_fastqc
21	2215.5	V01_DN_S218_L003_R1_001_fastqc
22	3029.5	V01_DN_S218_L003_R1_001_fastqc
23	3962.0	V01_DN_S218_L003_R1_001_fastqc
24	4935.5	V01_DN_S218_L003_R1_001_fastqc
25	6367.0	V01_DN_S218_L003_R1_001_fastqc
26	8135.0	V01_DN_S218_L003_R1_001_fastqc
27	10391.0	V01_DN_S218_L003_R1_001_fastqc
28	13251.0	V01_DN_S218_L003_R1_001_fastqc
29	16406.5	V01_DN_S218_L003_R1_001_fastqc
30	20129.5	V01_DN_S218_L003_R1_001_fastqc
31	24538.0	V01_DN_S218_L003_R1_001_fastqc
32	29654.5	V01_DN_S218_L003_R1_001_fastqc
33	34839.5	V01_DN_S218_L003_R1_001_fastqc
34	40206.5	V01_DN_S218_L003_R1_001_fastqc
35	46479.0	V01_DN_S218_L003_R1_001_fastqc
36	52802.0	V01_DN_S218_L003_R1_001_fastqc
37	58932.0	V01_DN_S218_L003_R1_001_fastqc
38	65380.0	V01_DN_S218_L003_R1_001_fastqc
39	71448.5	V01_DN_S218_L003_R1_001_fastqc
40	76848.5	V01_DN_S218_L003_R1_001_fastqc
41	82579.0	V01_DN_S218_L003_R1_001_fastqc
42	87982.5	V01_DN_S218_L003_R1_001_fastqc
