Quality	Count	Library
12	1.0	V01_DN_S218_L003_R1_001_fastqc
13	4.0	V01_DN_S218_L003_R1_001_fastqc
14	15.0	V01_DN_S218_L003_R1_001_fastqc
15	52.0	V01_DN_S218_L003_R1_001_fastqc
16	127.0	V01_DN_S218_L003_R1_001_fastqc
17	275.0	V01_DN_S218_L003_R1_001_fastqc
18	597.0	V01_DN_S218_L003_R1_001_fastqc
19	1148.0	V01_DN_S218_L003_R1_001_fastqc
20	2461.0	V01_DN_S218_L003_R1_001_fastqc
21	4506.0	V01_DN_S218_L003_R1_001_fastqc
22	6172.0	V01_DN_S218_L003_R1_001_fastqc
23	8150.0	V01_DN_S218_L003_R1_001_fastqc
24	10510.0	V01_DN_S218_L003_R1_001_fastqc
25	13969.0	V01_DN_S218_L003_R1_001_fastqc
26	18154.0	V01_DN_S218_L003_R1_001_fastqc
27	25006.0	V01_DN_S218_L003_R1_001_fastqc
28	31001.0	V01_DN_S218_L003_R1_001_fastqc
29	37123.0	V01_DN_S218_L003_R1_001_fastqc
30	42757.0	V01_DN_S218_L003_R1_001_fastqc
31	51753.0	V01_DN_S218_L003_R1_001_fastqc
32	65761.0	V01_DN_S218_L003_R1_001_fastqc
33	96103.0	V01_DN_S218_L003_R1_001_fastqc
34	161622.0	V01_DN_S218_L003_R1_001_fastqc
35	389802.0	V01_DN_S218_L003_R1_001_fastqc
36	3412052.0	V01_DN_S218_L003_R1_001_fastqc
37	3756562.0	V01_DN_S218_L003_R1_001_fastqc
9	1.0	V01_DN_S218_L003_R2_001_fastqc
10	0.0	V01_DN_S218_L003_R2_001_fastqc
11	233.0	V01_DN_S218_L003_R2_001_fastqc
12	3495.0	V01_DN_S218_L003_R2_001_fastqc
13	9538.0	V01_DN_S218_L003_R2_001_fastqc
14	10600.0	V01_DN_S218_L003_R2_001_fastqc
15	9169.0	V01_DN_S218_L003_R2_001_fastqc
16	7239.0	V01_DN_S218_L003_R2_001_fastqc
17	7533.0	V01_DN_S218_L003_R2_001_fastqc
18	9477.0	V01_DN_S218_L003_R2_001_fastqc
19	13515.0	V01_DN_S218_L003_R2_001_fastqc
20	18427.0	V01_DN_S218_L003_R2_001_fastqc
