SampleID	Profile	Batch	Soil	Time	Replicate	CollectionDate	Status	TimeFctr
WUA_TM01	TotalMG	A	JepsonTop	0	1	11-29-2020	Dry	T0
WUA_TM02	TotalMG	A	JepsonTop	0	2	11-29-2020	Dry	T0
WUA_TM03	TotalMG	A	JepsonTop	0	3	11-29-2020	Dry	T0
WUA_TM04	TotalMG	A	JepsonBot	0	1	11-29-2020	Dry	T0
WUA_TM05	TotalMG	A	JepsonBot	0	2	11-29-2020	Dry	T0
WUA_TM06	TotalMG	A	JepsonBot	0	3	11-29-2020	Dry	T0
WUA_TM19	TotalMG	A	JepsonTop	24	1	11-30-2020	Wet	T1
WUA_TM20	TotalMG	A	JepsonTop	24	2	11-30-2020	Wet	T1
WUA_TM21	TotalMG	A	JepsonTop	24	3	11-30-2020	Wet	T1
WUA_TM22	TotalMG	A	JepsonBot	24	1	11-30-2020	Wet	T1
WUA_TM23	TotalMG	A	JepsonBot	24	2	11-30-2020	Wet	T1
WUA_TM24	TotalMG	A	JepsonBot	24	3	11-30-2020	Wet	T1
WUA_TM25	TotalMG	A	JepsonTop	48	1	12-01-2020	Wet	T2
WUA_TM26	TotalMG	A	JepsonTop	48	2	12-01-2020	Wet	T2
WUA_TM27	TotalMG	A	JepsonTop	48	3	12-01-2020	Wet	T2
WUA_TM28	TotalMG	A	JepsonBot	48	1	12-01-2020	Wet	T2
WUA_TM29	TotalMG	A	JepsonBot	48	2	12-01-2020	Wet	T2
WUA_TM30	TotalMG	A	JepsonBot	48	3	12-01-2020	Wet	T2
WUA_TM31	TotalMG	A	JepsonTop	72	1	12-02-2020	Wet	T3
WUA_TM32	TotalMG	A	JepsonTop	72	2	12-02-2020	Wet	T3
WUA_TM33	TotalMG	A	JepsonTop	72	3	12-02-2020	Wet	T3
WUA_TM34	TotalMG	A	JepsonBot	72	1	12-02-2020	Wet	T3
WUA_TM35	TotalMG	A	JepsonBot	72	2	12-02-2020	Wet	T3
WUA_TM36	TotalMG	A	JepsonBot	72	3	12-02-2020	Wet	T3
WUA_TM37	TotalMG	A	JepsonTop	120	1	12-04-2020	Wet	T4
WUA_TM38	TotalMG	A	JepsonTop	120	2	12-04-2020	Wet	T4
WUA_TM39	TotalMG	A	JepsonTop	120	3	12-04-2020	Wet	T4
WUA_TM40	TotalMG	A	JepsonBot	120	1	12-04-2020	Wet	T4
WUA_TM41	TotalMG	A	JepsonBot	120	2	12-04-2020	Wet	T4
WUA_TM42	TotalMG	A	JepsonBot	120	3	12-04-2020	Wet	T4
WUA_TM43	TotalMG	A	JepsonTop	168	1	12-06-2020	Wet	T5
WUA_TM44	TotalMG	A	JepsonTop	168	2	12-06-2020	Wet	T5
WUA_TM45	TotalMG	A	JepsonTop	168	3	12-06-2020	Wet	T5
WUA_TM46	TotalMG	A	JepsonBot	168	1	12-06-2020	Wet	T5
WUA_TM47	TotalMG	A	JepsonBot	168	2	12-06-2020	Wet	T5
WUA_TM48	TotalMG	A	JepsonBot	168	3	12-06-2020	Wet	T5
WUA_TM49	TotalMG	A	JepsonTop	240	1	12-09-2020	Wet	T6
WUA_TM50	TotalMG	A	JepsonTop	240	2	12-09-2020	Wet	T6
WUA_TM51	TotalMG	A	JepsonTop	240	3	12-09-2020	Wet	T6
WUA_TM52	TotalMG	A	JepsonBot	240	1	12-09-2020	Wet	T6
WUA_TM53	TotalMG	A	JepsonBot	240	2	12-09-2020	Wet	T6
WUA_TM54	TotalMG	A	JepsonBot	240	3	12-09-2020	Wet	T6
WUA_VD19	ViromeD	A	JepsonTop	24	1	11-30-2020	Wet	T1
WUA_VD20	ViromeD	A	JepsonTop	24	2	11-30-2020	Wet	T1
WUA_VD21	ViromeD	A	JepsonTop	24	3	11-30-2020	Wet	T1
WUA_VD22	ViromeD	A	JepsonBot	24	1	11-30-2020	Wet	T1
WUA_VD23	ViromeD	A	JepsonBot	24	2	11-30-2020	Wet	T1
WUA_VD24	ViromeD	A	JepsonBot	24	3	11-30-2020	Wet	T1
WUA_VD25	ViromeD	A	JepsonTop	48	1	12-01-2020	Wet	T2
WUA_VD26	ViromeD	A	JepsonTop	48	2	12-01-2020	Wet	T2
WUA_VD27	ViromeD	A	JepsonTop	48	3	12-01-2020	Wet	T2
WUA_VD28	ViromeD	A	JepsonBot	48	1	12-01-2020	Wet	T2
WUA_VD29	ViromeD	A	JepsonBot	48	2	12-01-2020	Wet	T2
WUA_VD30	ViromeD	A	JepsonBot	48	3	12-01-2020	Wet	T2
WUA_VD31	ViromeD	A	JepsonTop	72	1	12-02-2020	Wet	T3
WUA_VD32	ViromeD	A	JepsonTop	72	2	12-02-2020	Wet	T3
WUA_VD33	ViromeD	A	JepsonTop	72	3	12-02-2020	Wet	T3
WUA_VD34	ViromeD	A	JepsonBot	72	1	12-02-2020	Wet	T3
WUA_VD35	ViromeD	A	JepsonBot	72	2	12-02-2020	Wet	T3
WUA_VD36	ViromeD	A	JepsonBot	72	3	12-02-2020	Wet	T3
WUA_VD37	ViromeD	A	JepsonTop	120	1	12-04-2020	Wet	T4
WUA_VD38	ViromeD	A	JepsonTop	120	2	12-04-2020	Wet	T4
WUA_VD39	ViromeD	A	JepsonTop	120	3	12-04-2020	Wet	T4
WUA_VD40	ViromeD	A	JepsonBot	120	1	12-04-2020	Wet	T4
WUA_VD41	ViromeD	A	JepsonBot	120	2	12-04-2020	Wet	T4
WUA_VD42	ViromeD	A	JepsonBot	120	3	12-04-2020	Wet	T4
WUA_VD43	ViromeD	A	JepsonTop	168	1	12-06-2020	Wet	T5
WUA_VD44	ViromeD	A	JepsonTop	168	2	12-06-2020	Wet	T5
WUA_VD45	ViromeD	A	JepsonTop	168	3	12-06-2020	Wet	T5
WUA_VD46	ViromeD	A	JepsonBot	168	1	12-06-2020	Wet	T5
WUA_VD47	ViromeD	A	JepsonBot	168	2	12-06-2020	Wet	T5
WUA_VD48	ViromeD	A	JepsonBot	168	3	12-06-2020	Wet	T5
WUA_VD49	ViromeD	A	JepsonTop	240	1	12-09-2020	Wet	T6
WUA_VD50	ViromeD	A	JepsonTop	240	2	12-09-2020	Wet	T6
WUA_VD51	ViromeD	A	JepsonTop	240	3	12-09-2020	Wet	T6
WUA_VD52	ViromeD	A	JepsonBot	240	1	12-09-2020	Wet	T6
WUA_VD53	ViromeD	A	JepsonBot	240	2	12-09-2020	Wet	T6
WUA_VD54	ViromeD	A	JepsonBot	240	3	12-09-2020	Wet	T6
WUA_VN01	ViromeN	A	JepsonTop	0	1	11-29-2020	Dry	T0
WUA_VN02	ViromeN	A	JepsonTop	0	2	11-29-2020	Dry	T0
WUA_VN03	ViromeN	A	JepsonTop	0	3	11-29-2020	Dry	T0
WUA_VN04	ViromeN	A	JepsonBot	0	1	11-29-2020	Dry	T0
WUA_VN05	ViromeN	A	JepsonBot	0	2	11-29-2020	Dry	T0
WUA_VN06	ViromeN	A	JepsonBot	0	3	11-29-2020	Dry	T0
WUA_VN19	ViromeN	A	JepsonTop	24	1	11-30-2020	Wet	T1
WUA_VN20	ViromeN	A	JepsonTop	24	2	11-30-2020	Wet	T1
WUA_VN21	ViromeN	A	JepsonTop	24	3	11-30-2020	Wet	T1
WUA_VN22	ViromeN	A	JepsonBot	24	1	11-30-2020	Wet	T1
WUA_VN23	ViromeN	A	JepsonBot	24	2	11-30-2020	Wet	T1
WUA_VN24	ViromeN	A	JepsonBot	24	3	11-30-2020	Wet	T1
WUA_VN25	ViromeN	A	JepsonTop	48	1	12-01-2020	Wet	T2
WUA_VN26	ViromeN	A	JepsonTop	48	2	12-01-2020	Wet	T2
WUA_VN27	ViromeN	A	JepsonTop	48	3	12-01-2020	Wet	T2
WUA_VN28	ViromeN	A	JepsonBot	48	1	12-01-2020	Wet	T2
WUA_VN29	ViromeN	A	JepsonBot	48	2	12-01-2020	Wet	T2
WUA_VN30	ViromeN	A	JepsonBot	48	3	12-01-2020	Wet	T2
WUA_VN31	ViromeN	A	JepsonTop	72	1	12-02-2020	Wet	T3
WUA_VN32	ViromeN	A	JepsonTop	72	2	12-02-2020	Wet	T3
WUA_VN33	ViromeN	A	JepsonTop	72	3	12-02-2020	Wet	T3
WUA_VN34	ViromeN	A	JepsonBot	72	1	12-02-2020	Wet	T3
WUA_VN35	ViromeN	A	JepsonBot	72	2	12-02-2020	Wet	T3
WUA_VN36	ViromeN	A	JepsonBot	72	3	12-02-2020	Wet	T3
WUA_VN37	ViromeN	A	JepsonTop	120	1	12-04-2020	Wet	T4
WUA_VN38	ViromeN	A	JepsonTop	120	2	12-04-2020	Wet	T4
WUA_VN39	ViromeN	A	JepsonTop	120	3	12-04-2020	Wet	T4
WUA_VN40	ViromeN	A	JepsonBot	120	1	12-04-2020	Wet	T4
WUA_VN41	ViromeN	A	JepsonBot	120	2	12-04-2020	Wet	T4
WUA_VN42	ViromeN	A	JepsonBot	120	3	12-04-2020	Wet	T4
WUA_VN43	ViromeN	A	JepsonTop	168	1	12-06-2020	Wet	T5
WUA_VN44	ViromeN	A	JepsonTop	168	2	12-06-2020	Wet	T5
WUA_VN45	ViromeN	A	JepsonTop	168	3	12-06-2020	Wet	T5
WUA_VN46	ViromeN	A	JepsonBot	168	1	12-06-2020	Wet	T5
WUA_VN47	ViromeN	A	JepsonBot	168	2	12-06-2020	Wet	T5
WUA_VN48	ViromeN	A	JepsonBot	168	3	12-06-2020	Wet	T5
WUA_VN49	ViromeN	A	JepsonTop	240	1	12-09-2020	Wet	T6
WUA_VN50	ViromeN	A	JepsonTop	240	2	12-09-2020	Wet	T6
WUA_VN51	ViromeN	A	JepsonTop	240	3	12-09-2020	Wet	T6
WUA_VN52	ViromeN	A	JepsonBot	240	1	12-09-2020	Wet	T6
WUA_VN53	ViromeN	A	JepsonBot	240	2	12-09-2020	Wet	T6
WUA_VN54	ViromeN	A	JepsonBot	240	3	12-09-2020	Wet	T6
WUA_VN55	ViromeN	A	JepsonTop	240	1	12-08-2020	Dry	T6
WUA_VN56	ViromeN	A	JepsonTop	240	2	12-08-2020	Dry	T6
WUA_VN57	ViromeN	A	JepsonTop	240	3	12-08-2020	Dry	T6
WUA_VN58	ViromeN	A	JepsonBot	240	1	12-08-2020	Dry	T6
WUA_VN59	ViromeN	A	JepsonBot	240	2	12-08-2020	Dry	T6
WUA_VN60	ViromeN	A	JepsonBot	240	3	12-08-2020	Dry	T6
WUB_TM01	TotalMG	B	Hopland	0	1	01-07-2020	Dry	T0
WUB_TM02	TotalMG	B	Hopland	0	2	01-07-2020	Dry	T0
