SampleID	raw	rmphix
WUB_TM01	127742552	136977544
WUB_TM02	131550088	134333214
WUB_TM03	145284048	136593404
WUB_TM04	141710256	149281576
WUB_TM05	146675984	133802046
WUB_TM06	134689640	182745592
WUB_TM07	119810536	131830158
WUB_TM08	135618840	135620428
WUB_TM09	127103600	140605924
WUB_TM10	128284952	136136200
WUB_TM11	140196728	153969398
WUB_TM12	157482616	127606196
WUB_TM13	154346840	113072008
WUB_TM14	137654944	157975504
WUB_TM15	178981744	118502538
WUB_TM16	151239600	121072170
WUB_TM17	126715000	138687082
WUB_TM18	117771624	143039544
WUB_TM19	145642168	140735622
WUB_TM20	131557120	184949918
WUB_TM21	155616616	121597570
WUB_TM22	129181248	134143244
WUB_TM23	140188840	152390728
WUB_TM24	163735760	122551420
WUB_TM25	127618272	139083028
WUB_TM26	129215528	132583418
WUB_TM27	146112840	137299194
WUB_TM28	137035640	156947178
WUB_TM29	120566072	139963178
WUB_TM30	160585184	124573332
WUB_TM31	142834008	144397094
WUB_TM32	136937064	163857618
WUB_TM33	119578400	139844686
WUB_TM34	135255160	184143230
WUB_TM35	150783080	119846692
WUB_TM36	153778600	116929386
WUB_TM37	133119304	179340782
WUB_TM38	150252408	124220408
WUB_TM39	129442472	204833414
WUB_TM40	220953768	109996392
WUB_TM41	154418600	119992034
WUB_TM42	157510768	126624848
WUB_VD01	72160440	27112070
WUB_VD02	63705568	98397012
WUB_VD03	69871272	65037344
WUB_VD04	71739000	53966548
WUB_VD05	76944344	53018972
WUB_VD06	82235400	53552038
WUB_VD07	82399496	54477584
WUB_VD08	73188832	48616690
WUB_VD09	74971008	56154422
WUB_VD10	77727112	58494410
WUB_VD11	86019248	52714732
WUB_VD12	85884168	53148028
WUB_VD13	80651312	55671960
WUB_VD14	76048800	55793644
WUB_VD15	72436152	48272972
WUB_VD16	78942376	55396434
WUB_VD17	86330216	52954276
WUB_VD18	88452096	53755080
WUB_VD19	70166344	53495152
WUB_VD20	118046048	57225270
WUB_VD21	77700992	52484744
WUB_VD22	71054312	50380526
WUB_VD23	75586080	53056302
WUB_VD24	69753384	53313804
WUB_VD25	81303776	53743030
WUB_VD26	84521248	52185614
WUB_VD27	74649952	57909802
WUB_VD28	66926632	67267096
WUB_VD29	73889528	56345738
WUB_VD30	70712328	61509410
WUB_VD31	94521072	51644518
WUB_VD32	76577480	54078116
WUB_VD33	80549736	54200188
WUB_VD34	67763328	58707070
WUB_VD35	71036176	58803318
WUB_VD36	73845552	59113866
WUB_VD37	94490096	51510618
WUB_VD38	65403088	81039274
WUB_VD39	71646640	56220548
WUB_VD40	68263656	56118088
WUB_VD41	71705296	51233954
WUB_VD42	67168784	58881348
WUB_VD43	66032712	76954650
WUB_VD44	65140560	84781460
WUB_VD45	66533472	67097742
WUB_VD46	66852296	72975002
WUB_VD47	80607008	54428822
WUB_VD48	70358296	60615090
WUB_VN01	92754888	52865960
WUB_VN02	93087808	52441026
WUB_VN03	73581376	58723334
WUB_VN04	95458680	52160728
WUB_VN05	74310536	59140156
WUB_VN06	87859664	53463958
WUB_VN07	79143256	55013724
WUB_VN08	82405328	53971918
WUB_VN09	98705760	53233278
WUB_VN10	98763480	53072482
WUB_VN11	87276944	52984284
WUB_VN12	99542216	50328104
